id,para_a,para_b,para_c,para_d,para_e,sentence,sentence2,illustrater
0,100,100,100,100,100,The Fool(Upright),愚者のカード(正位置),藤汐
1,73,100,10,56,77,The Magician(Upright),魔術師のカード(正位置),やまろ
2,84,90,87,77,64,The High Priestess(Upright),女教皇のカード(正位置),サカモト
3,55,30,50,100,16,The Empress(Upright),女帝のカード(正位置),aozam
4,66,40,50,0,15,The Emperor(Upright),皇帝のカード(正位置),サ^n
5,70,55,58,44,50,The Hierophant(Upright),教皇のカード(正位置),Rim
6,55,58,67,55,50,The Lovers(Upright),恋人のカード(正位置),かずみ
7,76,67,84,66,58,The Chariot(Upright),戦車のカード(正位置),やまろ
8,84,84,90,70,67,Justice(Upright),正義のカード(正位置),藤汐
9,34,90,35,55,44,The Hermit(Upright),隠者のカード(正位置),ここなつ
10,28,35,71,76,55,Wheel of Fortune(Upright),運命の輪のカード(正位置),ここなつ
11,80,71,84,84,66,Strength(Upright),力のカード(正位置),ろろ
12,75,84,44,40,70,The Hanged Man(Upright),吊された男のカード(正位置),サ^n
13,73,85,55,55,55,Death(Upright),死神のカード(正位置),エディ
14,57,93,66,58,76,Temperance(Upright),節制のカード(正位置),fuchi
15,83,40,70,67,84,The Devil(Upright),悪魔のカード(正位置),ゆーが
16,20,36,55,84,95,The Tower(Upright),塔のカード(正位置),ごぼぬん
17,99,28,76,90,65,The Star(Upright),星のカード(正位置),ごぼぬん
18,1,99,84,14,67,The Moon(Upright),月のカード(正位置),かずみ
19,89,51,88,74,80,The Sun(Upright),太陽のカード(正位置),まつり
20,90,90,90,90,90,Judgement(Upright),審判のカード(正位置),Rim
21,90,90,90,90,90,The World(Upright),世界のカード(正位置),サ^n
100,100,100,100,100,100,The Fool(Reversed),愚者のカード(逆位置),藤汐
101,73,100,10,56,77,The Magician(Reversed),魔術師のカード(逆位置),やまろ
102,84,90,87,77,64,The High Priestess(Reversed),女教皇のカード(逆位置),サカモト
103,55,30,50,100,16,The Empress(Reversed),女帝のカード(逆位置),aozam
104,66,40,50,0,15,The Emperor(Reversed),皇帝のカード(逆位置),サ^n
105,70,55,58,44,50,The Hierophant(Reversed),教皇のカード(逆位置),Rim
106,55,58,67,55,50,The Lovers(Reversed),恋人のカード(逆位置),かずみ
107,76,67,84,66,58,The Chariot(Reversed),戦車のカード(逆位置),やまろ
108,84,84,90,70,67,Justice(Reversed),正義のカード(逆位置),藤汐
109,34,90,35,55,44,The Hermit(Reversed),隠者のカード(逆位置),ここなつ
110,28,35,71,76,55,Wheel of Fortune(Reversed),運命の輪のカード(逆位置),ここなつ
111,80,71,84,84,66,Strength(Reversed),力のカード(逆位置),ろろ
112,75,84,44,40,70,The Hanged Man(Reversed),吊された男のカード(逆位置),サ^n
113,73,85,55,55,55,Death(Reversed),死神のカード(逆位置),エディ
114,57,93,66,58,76,Temperance(Reversed),節制のカード(逆位置),fuchi
115,83,40,70,67,84,The Devil(Reversed),悪魔のカード(逆位置),ゆーが
116,20,36,55,84,95,The Tower(Reversed),塔のカード(逆位置),ごぼぬん
117,99,28,76,90,65,The Star(Reversed),星のカード(逆位置),ごぼぬん
118,1,99,84,14,67,The Moon(Reversed),月のカード(逆位置),かずみ
119,89,51,88,74,80,The Sun(Reversed),太陽のカード(逆位置),まつり
120,55,58,67,55,50,Judgement(Reversed),審判のカード(逆位置),Rim
121,76,67,84,66,58,The World(Reversed),世界のカード(逆位置),サ^n
200,84,84,90,70,67,The Fool(Upright),愚者のカード(正位置),オダマキ
202,34,90,35,55,44,The High Priestess(Upright),女教皇のカード(正位置),まつり
203,55,58,67,55,50,The Empress(Upright),女帝のカード(正位置),てぃらみ
207,76,67,84,66,58,The Chariot(Upright),戦車のカード(正位置),oknon
213,84,84,90,70,67,Death(Upright),死神のカード(正位置),れしぃ
220,34,90,35,55,44,Judgement(Upright),審判のカード(正位置),okanon
300,28,35,71,76,55,The Fool(Reversed),愚者のカード(逆位置),オダマキ
302,80,71,84,84,66,The High Priestess(Reversed),女教皇のカード(逆位置),まつり
303,75,84,44,40,70,The Empress(Reversed),女帝のカード(逆位置),てぃらみ
307,73,85,55,55,55,Justice(Reversed),戦車のカード(逆位置),oknon
313,57,93,66,58,76,Death(Reversed),死神のカード(逆位置),れしぃ
320,83,40,70,67,84,Judgement(Reversed),審判のカード(逆位置),okanon
400,20,36,55,84,95,The Fool(Upright),愚者のカード(正位置),ロジ
500,90,90,90,90,90,The Fool(Reversed),愚者のカード(逆位置),ロジ
