id,para_a,para_b,para_c,para_d,para_e,sentence,sentence2
0,100,100,100,100,100,Sakuraのカード(正位置),あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえお
1,73,100,10,56,77,Windyのカード(正位置),かきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこ
2,84,90,87,77,64,Flyのカード(正位置),さしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそ
3,55,30,50,100,16,Shadowのカード(正位置),たちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてと
4,66,40,50,0,15,Wateryのカード(正位置),なにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねの
5,70,55,58,44,50,Woodのカード(正位置),はひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほ
6,55,58,67,55,50,Jumpのカード(正位置),まみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめも
7,76,67,84,66,58,Illusionのカード(正位置),らりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろ
8,84,84,90,70,67,Thunderのカード(正位置),らりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろ
9,34,90,35,55,44,swordのカード(正位置),あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえお
10,28,35,71,76,55,Flowerのカード(正位置),かきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこ
11,80,71,84,84,66,Shieldのカード(正位置),さしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそ
12,75,84,44,40,70,Fraseのカード(正位置),たちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてと
13,73,85,55,55,55,Glowのカード(正位置),なにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねの
14,57,93,66,58,76,Mirrorのカード(正位置),はひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほ
