id,para_a,para_b,para_c,para_d,para_e,sentence,sentence2
0,90,90,90,90,90,あ,あ
1,90,90,90,90,90,い,い
2,90,90,90,90,90,う,う
3,90,90,90,90,90,え,え
4,90,90,90,90,90,お,お
5,90,90,90,90,90,か,か
6,90,90,90,90,90,き,き
7,90,90,90,90,90,く,く
8,90,90,90,90,90,け,け
9,90,90,90,90,90,こ,こ
10,90,90,90,90,90,さ,さ
11,90,90,90,90,90,し,し
12,90,90,90,90,90,す,す
13,90,90,90,90,90,せ,せ
14,90,90,90,90,90,そ,そ
15,90,90,90,90,90,た,た
16,90,90,90,90,90,ち,ち
17,90,90,90,90,90,つ,つ
18,90,90,90,90,90,て,て
19,90,90,90,90,90,と,と
20,90,90,90,90,90,な,な
21,90,90,90,90,90,に,に
22,90,90,90,90,90,ぬ,ぬ
23,90,90,90,90,90,ね,ね
24,90,90,90,90,90,の,の
25,90,90,90,90,90,は,は
26,90,90,90,90,90,ひ,ひ
27,90,90,90,90,90,ふ,ふ
28,90,90,90,90,90,へ,へ
29,90,90,90,90,90,ほ,ほ
30,90,90,90,90,90,ま,ま
31,90,90,90,90,90,み,み
32,90,90,90,90,90,む,む
33,90,90,90,90,90,め,め
34,90,90,90,90,90,も,も
35,90,90,90,90,90,や,や
36,90,90,90,90,90,ゆ,ゆ
37,90,90,90,90,90,よ,よ
38,90,90,90,90,90,ら,ら
39,90,90,90,90,90,り,り
40,90,90,90,90,90,る,る
41,90,90,90,90,90,れ,れ
42,90,90,90,90,90,ろ,ろ
43,90,90,90,90,90,わ,わ
44,90,90,90,90,90,を,を
45,90,90,90,90,90,ん,ん
46,90,90,90,90,90,あ,あ
47,90,90,90,90,90,い,い
48,90,90,90,90,90,う,う
49,90,90,90,90,90,え,え
50,90,90,90,90,90,お,お
51,90,90,90,90,90,か,か
52,90,90,90,90,90,き,き
53,90,90,90,90,90,く,く
54,90,90,90,90,90,け,け
55,90,90,90,90,90,こ,こ
56,90,90,90,90,90,さ,さ
57,90,90,90,90,90,し,し
58,90,90,90,90,90,す,す
59,90,90,90,90,90,せ,せ
60,90,90,90,90,90,そ,そ
61,90,90,90,90,90,た,た
62,90,90,90,90,90,ち,ち
63,90,90,90,90,90,つ,つ
64,90,90,90,90,90,て,て
65,90,90,90,90,90,と,と
66,90,90,90,90,90,な,な
67,90,90,90,90,90,に,に
68,90,90,90,90,90,ぬ,ぬ
69,90,90,90,90,90,ね,ね
70,90,90,90,90,90,の,の
71,90,90,90,90,90,は,は
72,90,90,90,90,90,ひ,ひ
73,90,90,90,90,90,ふ,ふ
74,90,90,90,90,90,へ,へ
75,90,90,90,90,90,ほ,ほ
76,90,90,90,90,90,ま,ま
77,90,90,90,90,90,み,み
78,90,90,90,90,90,む,む
79,90,90,90,90,90,め,め
80,90,90,90,90,90,も,も
81,90,90,90,90,90,や,や
82,90,90,90,90,90,ゆ,ゆ
83,90,90,90,90,90,よ,よ
84,90,90,90,90,90,ら,ら
85,90,90,90,90,90,り,り
86,90,90,90,90,90,る,る
87,90,90,90,90,90,れ,れ
88,90,90,90,90,90,ろ,ろ
89,90,90,90,90,90,わ,わ
90,90,90,90,90,90,を,を
91,90,90,90,90,90,ん,ん
92,90,90,90,90,90,あ,あ
93,90,90,90,90,90,い,い
94,90,90,90,90,90,う,う
95,90,90,90,90,90,え,え
96,90,90,90,90,90,お,お
97,90,90,90,90,90,か,か
98,90,90,90,90,90,き,き
99,90,90,90,90,90,く,く
